AKaRqala	Pum
AKu	Pum
AKuBuj	Pum
AKewa	Pum
AKyA	Stri
AKyAyikA	Stri
Agantu	Pum
Agantu	Napumsaka
Agas	Napumsaka
Agastya	Pum
AgAmin	Pum
AgAra	Napumsaka
AgU	Stri
AgnAyI	Stri
AgrahAyaRika	Pum
AgrahAyaRI	Stri
ANgirasa	Pum
Acamana	Napumsaka
AcAma	Pum
AcArya	Pum
AcAryA	Stri
AcAryAnI	Stri
Acita	Pum
Acita	Napumsaka
AcCAdana	Napumsaka
AcCuritaka	Napumsaka
AcCodana	Napumsaka
Ajaka	Napumsaka
AjAneya	Pum
Aji	Stri
AjIva	Pum
AjU	Stri
AjYA	Stri
Ajya	Napumsaka
Awi	Stri
Aqambara	Pum
Aqi	Stri
AQaka	Pum
AQaka	Napumsaka
AQakI	Stri
AtaNka	Pum
AtaYcana	Napumsaka
AtatAyin	Pum
Atapa	Pum
Atapatra	Napumsaka
Atara	Pum
AtAyin	Pum
Atodya	Napumsaka
AtmaguptA	Stri
AtmaGoza	Pum
Atmaja	Pum
AtmajA	Stri
Atman	Pum
AtmaBU	Pum
AtmamBari	Stri
AtmamBari	Pum
AtmamBari	Napumsaka
Atmavat	Pum
Atmavat	Napumsaka
Atreya	Pum
AtreyI	Stri
ATarvaRa	Napumsaka
AdarSa	Pum
Adi	Pum
Adikavi	Pum
AdikAraRa	Napumsaka
Aditeya	Pum
Aditya	Pum
AdInava	Pum
AdyamAzaka	Pum
ADAra	Pum
ADi	Pum
ADoraRa	Pum
ADyAna	Napumsaka
Anaka	Pum
AnakadunduBi	Pum
AnadDa	Napumsaka
Anana	Napumsaka
Ananda	Pum
AnandaTu	Pum
Anandana	Napumsaka
Anarta	Pum
AnAya	Pum
AnAyya	Pum
AnAha	Pum
AnupUrvI	Stri
AnvIkzikI	Stri
Apakva	Napumsaka
ApagA	Stri
ApaRa	Pum
ApaRika	Pum
Apad	Stri
ApannasattvA	Stri
Apamityaka	Napumsaka
ApAna	Napumsaka
ApIqa	Pum
ApIna	Napumsaka
ApUpika	Napumsaka
Apta	Pum
Apnuvat	Pum
ApracCanna	Napumsaka
Aplava	Pum
AplAva	Pum
Aplutavratin	Pum
AbanDa	Pum
ABaraRa	Napumsaka
ABAzaRa	Napumsaka
ABAsvara	Pum
ABicAra	Pum
ABIra	Pum
ABIrapallI	Stri
ABIrI	Stri
ABIla	Napumsaka
ABoga	Pum
AmaganDi	Napumsaka
Amanasya	Napumsaka
Amaya	Pum
AmayAvin	Pum
AmayAvin	Napumsaka
AmalakI	Pum
AmikzA	Stri
Amiza	Napumsaka
Amiza	Pum
AmizASin	Pum
AmizASin	Napumsaka
Amoda	Pum
Amodin	Pum
AmnAya	Pum
Amra	Pum
AmrAtaka	Pum
Amreqita	Napumsaka
Ayatana	Napumsaka
Ayati	Stri
AyAma	Pum
AyuDa	Napumsaka
AyuDika	Pum
AyuDIya	Pum
Ayuz	Napumsaka
Ayuzmat	Pum
Ayuzmat	Napumsaka
AyoDana	Napumsaka
ArakUwa	Pum
ArakUwa	Napumsaka
AragvaDa	Pum
Arati	Stri
AranAlaka	Napumsaka
AramBa	Pum
Arava	Pum
ArA	Stri
ArADana	Napumsaka
ArAma	Pum
ArAva	Pum
Arevata	Pum
Arogya	Napumsaka
Aroha	Pum
ArohaRa	Napumsaka
Artagala	Pum
Artava	Napumsaka
Ardraka	Napumsaka
Arya	Pum
AryA	Stri
AryAvarta	Pum
ArzaBya	Pum
Arhaka	Pum
Ala	Napumsaka
AlamBa	Pum
Alaya	Pum
AlavAla	Napumsaka
Alasya	Pum
AlAna	Napumsaka
AlApa	Pum
Ali	Pum
Ali	Stri
AlI	Stri
AlIQa	Napumsaka
Alu	Stri
Aloka	Pum
Alokana	Napumsaka
Avapana	Napumsaka
Avara	Napumsaka
Avarta	Pum
Avali	Stri
AvApa	Pum
AvApaka	Pum
AvAla	Napumsaka
Avigna	Pum
AviDa	Pum
Avuka	Pum
Avutta	Pum
AvegI	Stri
AveSana	Napumsaka
ASaya	Pum
ASara	Pum
ASaMsitf	Pum
ASaMsitf	Napumsaka
ASaMsu	Pum
ASaMsu	Napumsaka
ASA	Stri
ASiz	Stri
ASIviza	Pum
ASu	Napumsaka
ASu	Pum
ASu	Napumsaka
ASuga	Pum
ASuSukzaRi	Pum
ASrama	Pum
ASrama	Napumsaka
ASraya	Pum
ASrayASa	Pum
ASrava	Pum
ASva	Napumsaka
ASvatTa	Napumsaka
ASvayuja	Pum
ASvina	Pum
ASvIya	Napumsaka
AzAQa	Pum
Asana	Napumsaka
AsanA	Stri
Asava	Pum
AsAra	Pum
AsurI	Stri
Askandana	Napumsaka
Askandita	Napumsaka
AstaraRa	Napumsaka
AsTA	Stri
AsTAna	Napumsaka
AsTAnI	Stri
